Date,Title,Company,Firm,Link
2026-03-09,Research and Medical Education Librarian,Alice L. Walton School of Medicine,Alice L. Walton School of Medicine,LinkedIn,https://www.linkedin.com/jobs/view/research-and-medical-education-librarian-at-alice-l-walton-school-of-medicine-4309903528
2026-03-09,Library Specialist Part Time - 30 hours,Arapahoe Libraries,Arapahoe Libraries,LinkedIn,https://www.linkedin.com/jobs/view/library-specialist-part-time-30-hours-at-arapahoe-libraries-4378125642
2026-03-09,Librarian,BAE Systems Inc.,BAE Systems Inc.,LinkedIn,https://www.linkedin.com/jobs/view/librarian-at-bae-systems-inc-4350774056
2026-03-09,Renew II Part-time Librarian Pool - Library Services,California Polytechnic State University-San Luis Obispo,California Polytechnic State University-San Luis Obispo,LinkedIn,https://www.linkedin.com/jobs/view/renew-ii-part-time-librarian-pool-library-services-at-california-polytechnic-state-university-san-luis-obispo-4368058173
2026-03-09,Research Librarian (Temp-to-Perm),Charles River Associates,Charles River Associates,LinkedIn,https://www.linkedin.com/jobs/view/research-librarian-temp-to-perm-at-charles-river-associates-4370453980
2026-03-09,Research Librarian (Temp-to-Perm),Charles River Associates,Charles River Associates,LinkedIn,https://www.linkedin.com/jobs/view/research-librarian-temp-to-perm-at-charles-river-associates-4370453981
2026-03-09,Librarian,City of Irving,City of Irving,LinkedIn,https://www.linkedin.com/jobs/view/librarian-at-city-of-irving-4379387735
2026-03-09,Mead Library Circulation Supervisor,City of Sheboygan,City of Sheboygan,LinkedIn,https://www.linkedin.com/jobs/view/mead-library-circulation-supervisor-at-city-of-sheboygan-4380808854
2026-03-09,City Librarian,City Of Tyler - Municipal Government,City Of Tyler - Municipal Government,LinkedIn,https://www.linkedin.com/jobs/view/city-librarian-at-city-of-tyler-municipal-government-4369216787
2026-03-09,Legal Research Specialist | Remote,Crossing Hurdles,Crossing Hurdles,LinkedIn,https://www.linkedin.com/jobs/view/legal-research-specialist-remote-at-crossing-hurdles-4381351707
2026-03-09,Senior Law Librarian | Remote,Crossing Hurdles,Crossing Hurdles,LinkedIn,https://www.linkedin.com/jobs/view/senior-law-librarian-remote-at-crossing-hurdles-4381348918
2026-03-09,Research Analyst - Corporate (Law Firm Library),Debevoise & Plimpton,Debevoise & Plimpton,LinkedIn,https://www.linkedin.com/jobs/view/research-analyst-corporate-law-firm-library-at-debevoise-plimpton-4378538699
2026-03-09,Full-Time Librarian,DUCHESNE COUNTY SCHOOL DISTRICT,DUCHESNE COUNTY SCHOOL DISTRICT,LinkedIn,https://www.linkedin.com/jobs/view/full-time-librarian-at-duchesne-county-school-district-4380482033
2026-03-09,Library Internship Human Rights Archive Duke Library,Duke University,Duke University,LinkedIn,https://www.linkedin.com/jobs/view/library-internship-human-rights-archive-duke-library-at-duke-university-4381358799
2026-03-09,Law Library Manager,Harbor,Harbor,LinkedIn,https://www.linkedin.com/jobs/view/law-library-manager-at-harbor-4369930727
2026-03-09,Engagement Librarian,Harrisburg University of Science and Technology,Harrisburg University of Science and Technology,LinkedIn,https://www.linkedin.com/jobs/view/engagement-librarian-at-harrisburg-university-of-science-and-technology-4380977785
2026-03-09,Collection Development Librarian II (Bilingual/Spanish),Ingram Content Group,Ingram Content Group,LinkedIn,https://www.linkedin.com/jobs/view/collection-development-librarian-ii-bilingual-spanish-at-ingram-content-group-4379469052
2026-03-09,Library Operations Supervisor Albino Gorno Memorial Library / CCM Library,Inside Higher Ed,Inside Higher Ed,LinkedIn,https://www.linkedin.com/jobs/view/library-operations-supervisor-albino-gorno-memorial-library-ccm-library-at-inside-higher-ed-4382671476
2026-03-09,Reference Librarian,Inside Higher Ed,Inside Higher Ed,LinkedIn,https://www.linkedin.com/jobs/view/reference-librarian-at-inside-higher-ed-4380591394
2026-03-09,Research Analytics and Learning Librarian,Inside Higher Ed,Inside Higher Ed,LinkedIn,https://www.linkedin.com/jobs/view/research-analytics-and-learning-librarian-at-inside-higher-ed-4382666671
2026-03-09,Research & Library Coordinator,Kennison & Associates,Kennison & Associates,LinkedIn,https://www.linkedin.com/jobs/view/research-library-coordinator-at-kennison-associates-4380986588
2026-03-09,Librarian Services Manager - Cedar Region,King County Library System,King County Library System,LinkedIn,https://www.linkedin.com/jobs/view/librarian-services-manager-cedar-region-at-king-county-library-system-4381678995
2026-03-09,Library - Branch Manager II,Library Systems & Services LLC,Library Systems & Services LLC,LinkedIn,https://www.linkedin.com/jobs/view/library-branch-manager-ii-at-library-systems-services-llc-4380726323
2026-03-09,Sr. Law Librarian | Research Specialist,Mercor,Mercor,LinkedIn,https://www.linkedin.com/jobs/view/sr-law-librarian-research-specialist-at-mercor-4382677556
2026-03-09,Scholarly Communication Librarian II Rowan University Libraries,Rowan University,Rowan University,LinkedIn,https://www.linkedin.com/jobs/view/scholarly-communication-librarian-ii-rowan-university-libraries-at-rowan-university-4379165027
2026-03-09,Legal Reseach Librarian,Rylem Staffing,Rylem Staffing,LinkedIn,https://www.linkedin.com/jobs/view/legal-reseach-librarian-at-rylem-staffing-4380000314
2026-03-09,Librarian/Archivist Assistant 2 (Reader Advisor),Tennessee Secretary of State,Tennessee Secretary of State,LinkedIn,https://www.linkedin.com/jobs/view/librarian-archivist-assistant-2-reader-advisor-at-tennessee-secretary-of-state-4371887980
2026-03-09,LIBRARIAN III - Unit Law Librarian,Texas Department Of Criminal Justice,Texas Department Of Criminal Justice,LinkedIn,https://www.linkedin.com/jobs/view/librarian-iii-unit-law-librarian-at-texas-department-of-criminal-justice-4382103954
2026-03-09,Library Manager - Hunts Point Library,The New York Public Library,The New York Public Library,LinkedIn,https://www.linkedin.com/jobs/view/library-manager-hunts-point-library-at-the-new-york-public-library-4381481964
2026-03-09,Regional Manager - Library,The Seattle Public Library,The Seattle Public Library,LinkedIn,https://www.linkedin.com/jobs/view/regional-manager-library-at-the-seattle-public-library-4362252312
2026-03-09,Library Manager,Trinus Corporation,Trinus Corporation,LinkedIn,https://www.linkedin.com/jobs/view/library-manager-at-trinus-corporation-4377791846
2026-03-09,12 month - College Librarian,Virginia's Community College System,Virginia's Community College System,LinkedIn,https://www.linkedin.com/jobs/view/12-month-college-librarian-at-virginia-s-community-college-system-4380629085
2026-03-09,Library Supervisor,Wake County,Wake County,LinkedIn,https://www.linkedin.com/jobs/view/library-supervisor-at-wake-county-4379959059
2026-03-09,Research & Information Librarian,Air Line Pilots Association,Air Line Pilots Association,LinkedIn,https://www.linkedin.com/jobs/view/research-information-librarian-at-air-line-pilots-association-4383311207
